🚀 VOLLSTÄNDIGER SYNC — Rechnungen ab 2023
═════════════════════════════════════════════
📄 Gesamt: 14100 Dokumente, 141 Seiten
💾 Bereits in DB: Prüfe...

⏱️  Seite 10/141 | Gesamt: 1000 | Gespeichert: 0 | Items: 0 | Fehler: 0 | 0.2min
⏱️  Seite 20/141 | Gesamt: 2000 | Gespeichert: 0 | Items: 0 | Fehler: 0 | 0.4min
⏱️  Seite 30/141 | Gesamt: 3000 | Gespeichert: 0 | Items: 0 | Fehler: 0 | 0.6min
⏱️  Seite 40/141 | Gesamt: 4000 | Gespeichert: 0 | Items: 0 | Fehler: 0 | 0.9min
⏱️  Seite 50/141 | Gesamt: 5000 | Gespeichert: 835 | Items: 9234 | Fehler: 0 | 3.8min
⏱️  Seite 60/141 | Gesamt: 6000 | Gespeichert: 1835 | Items: 17487 | Fehler: 0 | 7.2min
⏱️  Seite 70/141 | Gesamt: 7000 | Gespeichert: 2835 | Items: 25366 | Fehler: 0 | 10.5min
⏱️  Seite 80/141 | Gesamt: 8000 | Gespeichert: 3835 | Items: 33223 | Fehler: 0 | 13.9min
⏱️  Seite 90/141 | Gesamt: 9000 | Gespeichert: 4835 | Items: 41303 | Fehler: 0 | 17.3min
⏱️  Seite 100/141 | Gesamt: 10000 | Gespeichert: 5835 | Items: 49025 | Fehler: 0 | 20.8min
⏱️  Seite 110/141 | Gesamt: 11000 | Gespeichert: 6835 | Items: 56810 | Fehler: 0 | 24.2min
⏱️  Seite 120/141 | Gesamt: 12000 | Gespeichert: 7835 | Items: 64939 | Fehler: 0 | 27.6min
